filename,width,height,class,xmin,ymin,xmax,ymax
DOC_202009241435_НТКА-003104_003-000.jpg,2480,3507,UPD2,922,85,2285,381
DOC_202009241435_НТКА-003104_003-000.jpg,2480,3507,factura1,2067,349,2258,1340
DOC_202009241452_НТКА-003103_003-000.jpg,2480,3507,UPD2,940,76,2295,385
DOC_202009241452_НТКА-003103_003-000.jpg,2480,3507,factura1,2090,353,2263,1335
DOC_202009241539_НТКА-003108_002-000.jpg,2480,3507,UPD,1717,99,2376,449
DOC_202009241539_НТКА-003108_002-000.jpg,2480,3507,factura2,2185,399,2381,1685
DOC_202009241720_НТКА-003027_002-000.jpg,2480,3507,factura1,2022,149,2199,1071
DOC_202009241737_НТКА-003025_003-000.jpg,2480,3507,factura1,2022,149,2217,1085
DOC_202009241745_НТКА-003028_003-000.jpg,2480,3507,factura1,2017,140,2185,1067
DOC_202009241950_НТКА-003110_002-000.jpg,2480,3507,UPD2,1031,81,2285,390
DOC_202009241950_НТКА-003110_002-000.jpg,2480,3507,factura1,2063,353,2245,1326
DOC_202009241950_НТКА-003111_002-000.jpg,2480,3507,factura1,433,2459,587,3422
DOC_202009250000_НТКА-003335_001-000.jpg,2480,3507,factura1,2063,144,2245,1135
DOC_202009250838_НТКА-003122_002-000.jpg,2480,3507,UPD2,193,3113,1158,3438
DOC_202009250838_НТКА-003122_002-000.jpg,2480,3507,factura1,208,2172,399,3109
DOC_202009250840_НТКА-003123_002-000.jpg,2480,3507,UPD2,176,3108,1135,3417
DOC_202009250840_НТКА-003123_002-000.jpg,2480,3507,factura1,140,2158,376,3099
DOC_202009250904_НТКА-003135_002-000.jpg,2480,3507,UPD2,1335,90,2317,412
DOC_202009250904_НТКА-003135_002-000.jpg,2480,3507,factura1,2081,358,2285,1344
DOC_202009250907_НТКА-003126_003-000.jpg,2480,3507,UPD2,1349,85,2317,403
DOC_202009250907_НТКА-003126_003-000.jpg,2480,3507,factura1,2085,358,2322,1344
DOC_202009250908_НТКА-003134_002-000.jpg,2480,3507,UPD2,1340,85,2299,394
DOC_202009250908_НТКА-003134_002-000.jpg,2480,3507,factura1,2099,358,2281,1376
DOC_202009250914_НТКА-003127_003-002.jpg,2480,3507,UPD2,1345,90,2331,399
DOC_202009250914_НТКА-003127_003-002.jpg,2480,3507,factura1,2104,344,2267,1353
DOC_202009250914_НТКА-003132_003-000.jpg,2480,3507,UPD2,1345,94,2326,390
DOC_202009250914_НТКА-003132_003-000.jpg,2480,3507,factura1,2067,362,2290,1367
DOC_202009250915_НТКА-003124_003-000.jpg,2480,3507,UPD2,1317,85,2345,385
DOC_202009250915_НТКА-003124_003-000.jpg,2480,3507,factura1,2045,335,2308,1367
DOC_202009250939_НТКА-003125_003-000.jpg,2480,3507,UPD2,1335,81,2299,394
DOC_202009250939_НТКА-003125_003-000.jpg,2480,3507,factura1,2081,371,2308,1371
DOC_202009250949_НТКА-003128_003-000.jpg,2480,3507,UPD2,1331,90,2331,412
DOC_202009250949_НТКА-003128_003-000.jpg,2480,3507,factura1,2104,367,2295,1344
DOC_202009250952_НТКА-003133_003-000.jpg,2480,3507,UPD2,1322,67,2313,403
DOC_202009250952_НТКА-003133_003-000.jpg,2480,3507,factura1,2076,367,2258,1390
DOC_202009250955_НТКА-003129_003-000.jpg,2480,3507,UPD2,1335,67,2295,399
DOC_202009250955_НТКА-003129_003-000.jpg,2480,3507,factura1,2085,362,2290,1353
DOC_202009250955_НТКА-003130_002-000.jpg,2480,3507,UPD2,1331,85,2322,412
DOC_202009250955_НТКА-003130_002-000.jpg,2480,3507,factura1,2072,367,2295,1385
DOC_202009251038_НТКА-003138_002-000.jpg,2480,3507,UPD2,1326,99,2295,399
DOC_202009251038_НТКА-003138_002-000.jpg,2480,3507,factura1,2076,349,2276,1344
DOC_202009251053_НТКА-003136_001-000.jpg,2480,3507,UPD2,1326,99,2313,417
DOC_202009251053_НТКА-003136_001-000.jpg,2480,3507,factura1,2076,349,2313,1349
DOC_202009251107_НТКА-003145_003-000.jpg,2480,3507,factura2,1963,781,2172,2399
DOC_202009251149_НТКА-003141_006-000.jpg,2480,3507,UPD2,237,3153,1583,3450
DOC_202009251149_НТКА-003141_006-000.jpg,2480,3507,factura1,221,2209,433,3138
DOC_202009251157_НТКА-003143_003-000.jpg,2480,3507,UPD2,249,3159,1568,3450
DOC_202009251157_НТКА-003143_003-000.jpg,2480,3507,factura1,205,2206,462,3153
DOC_202009251317_НТКА-003151_003-002.jpg,2480,3507,UPD2,217,3121,1558,3444
DOC_202009251317_НТКА-003151_003-002.jpg,2480,3507,factura1,213,2185,413,3117
DOC_202009251320_НТКА-003150_008-000.jpg,2480,3507,UPD2,240,3149,1540,3440
DOC_202009251320_НТКА-003150_008-000.jpg,2480,3507,factura1,195,2221,413,3149
DOC_202009251334_НТКА-003149_001-000.jpg,2480,3507,factura1,2195,121,2354,1231
DOC_202009251334_НТКА-003149_002-000.jpg,2480,3507,TORG12,462,734,1293,856
DOC_202009251403_НТКА-003156_002-000.jpg,2480,3507,UPD,99,3085,808,3440
DOC_202009251403_НТКА-003156_002-000.jpg,2480,3507,factura2,76,1799,267,3085
DOC_202009251422_НТКА-003152_008-000.jpg,2480,3507,UPD2,171,3113,1490,3413
DOC_202009251422_НТКА-003152_008-000.jpg,2480,3507,factura1,193,2178,362,3100
DOC_202009251430_НТКА-003153_003-000.jpg,2480,3507,UPD2,195,3108,1490,3458
DOC_202009251430_НТКА-003153_003-000.jpg,2480,3507,factura1,185,2162,363,3094
DOC_202009251447_НТКА-003155_001-000.jpg,2480,3507,factura1,95,1290,281,2362
DOC_202009251505_НТКА-003157_002-000.jpg,2480,3507,factura1,135,2317,304,3426
DOC_202009252359_НТКА-003334_001-000.jpg,2480,3507,factura1,2090,131,2245,1185
DOC_202009252359_НТКА-003336_001-000.jpg,2480,3507,factura1,2104,144,2249,1181
DOC_202009252359_НТКА-003337_001-000.jpg,2480,3507,factura1,2104,144,2263,1203
DOC_202009281233_НТКА-003160_002-000.jpg,2480,3507,UPD,181,3031,799,3335
DOC_202009281233_НТКА-003160_002-000.jpg,2480,3507,factura2,163,2162,358,3081
DOC_202009281344_НТКА-003161_002-000.jpg,2480,3507,UPD,1690,126,2390,458
DOC_202009281344_НТКА-003161_002-000.jpg,2480,3507,factura2,2204,431,2390,1699
DOC_202009281500_НТКА-003162_003-000.jpg,2480,3507,UPD2,954,203,2226,485
DOC_202009281500_НТКА-003162_003-000.jpg,2480,3507,factura1,2040,440,2195,1362
DOC_202009281506_НТКА-003163_003-000.jpg,2480,3507,UPD2,972,203,2213,485
DOC_202009281506_НТКА-003163_003-000.jpg,2480,3507,factura1,2031,449,2222,1390
DOC_202009281556_НТКА-003158_004-000.jpg,2480,3507,UPD2,963,212,2240,476
DOC_202009281556_НТКА-003158_004-000.jpg,2480,3507,factura1,2013,440,2213,1381
DOC_202009281604_НТКА-003167_002-000.jpg,2480,3507,factura1,1976,258,2158,1208
DOC_202009281613_НТКА-003165_003-000.jpg,2480,3507,TORG12,1472,621,1667,1635
DOC_202009281613_НТКА-003165_003-001.jpg,2480,3507,factura1,2199,81,2349,1085
DOC_202009281620_НТКА-003166_003-000.jpg,2480,3507,TORG12,1454,635,1654,1644
